Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,78.56,80.88,78.25,78.75,27.8758386431,4848800.0,0.0,1.0
1999-11-02,79.38,82.81,78.56,80.19,28.385568264,4259400.0,0.0,1.0
1999-11-03,85.0,85.44,83.75,84.69,29.978473329299998,7084200.0,0.0,1.0
1999-11-04,85.44,85.75,83.94,85.75,30.3536909669,5345800.0,0.0,1.0
1999-11-05,87.75,90.0,86.0,88.19,31.2173994913,21985900.0,0.0,1.0
1999-11-08,88.75,88.88,85.81,85.81,30.3749297011,4767700.0,0.0,1.0
1999-11-09,87.06,87.06,84.94,85.5,30.2651962411,3180800.0,0.0,1.0
1999-11-10,86.38,92.25,86.25,91.06,32.233318944000004,5519900.0,0.0,1.0
1999-11-11,92.75,95.19,89.69,91.56,32.4103083957,4132500.0,0.0,1.0
1999-11-12,91.88,92.63,87.06,90.5,32.0350907581,4141500.0,0.0,1.0
1999-11-15,91.81,92.25,88.13,89.69,31.748367846399997,2424400.0,0.0,1.0
1999-11-16,90.38,91.0,88.0,89.06,31.525361137199997,2574700.0,0.0,1.0
1999-11-17,89.5,89.81,85.81,86.06,30.463424427,3206000.0,0.0,1.0
1999-11-18,88.88,92.63,88.06,92.5,32.7430485649,4031400.0,0.0,1.0
1999-11-19,92.63,93.5,90.5,92.75,32.8315432908,2235900.0,0.0,1.0
1999-11-22,92.69,92.69,88.94,91.13,32.2580974673,3444600.0,0.0,1.0
1999-11-23,91.5,92.0,86.0,87.31,30.9058980563,3357800.0,0.0,1.0
1999-11-24,88.13,89.5,87.06,89.5,31.6811118547,2098300.0,0.0,1.0
1999-11-26,89.88,91.5,88.38,88.94,31.4828836688,861600.0,0.0,1.0
1999-11-29,90.44,95.88,89.0,95.63,33.8510025326,3953000.0,0.0,1.0
1999-11-30,96.63,96.63,88.13,89.5,31.6811118547,3929600.0,0.0,1.0
1999-12-01,90.36,90.44,87.75,89.44,31.659873120500002,4069400.0,0.0,1.0
1999-12-02,89.94,95.63,89.94,94.63,33.4970236292,2435400.0,0.0,1.0
1999-12-03,97.13,97.13,87.56,88.25,31.2386382255,6846600.0,0.0,1.0
1999-12-06,91.5,92.38,89.25,91.0,32.2120802098,2796200.0,0.0,1.0
1999-12-07,91.81,91.88,87.5,88.81,31.436866411399997,3405300.0,0.0,1.0
1999-12-08,88.06,90.75,87.63,88.13,31.196160756999998,3515900.0,0.0,1.0
1999-12-09,89.25,89.5,82.63,85.0,30.0882067894,5355100.0,0.0,1.0
1999-12-10,86.0,86.25,80.63,84.75,29.9997120635,5704400.0,0.0,1.0
1999-12-13,85.13,89.19,83.69,87.0,30.7961645962,2882900.0,0.0,1.0
1999-12-14,87.19,87.25,78.38,78.94,27.9430946348,10199700.0,0.0,1.0
1999-12-15,78.63,80.0,76.0,78.0,27.6103544656,7056200.0,0.0,1.0
1999-12-16,83.0,84.5,81.5,83.38,29.514760965900003,5002500.0,0.0,1.0
1999-12-17,87.56,87.58,81.0,81.75,28.937775353299998,4232800.0,0.0,1.0
1999-12-20,82.63,85.13,81.13,82.81,29.3129929909,2555600.0,0.0,1.0
1999-12-21,83.31,86.06,82.13,85.44,30.2439575069,3252700.0,0.0,1.0
1999-12-22,86.44,90.88,85.75,90.69,32.1023467498,3471600.0,0.0,1.0
1999-12-23,91.0,92.06,88.0,89.25,31.5926171289,3093500.0,0.0,1.0
1999-12-27,90.5,93.75,87.88,93.75,33.185522194200004,2843700.0,0.0,1.0
1999-12-28,45.13,47.0,44.75,45.63,32.3041147247,1556300.0,0.0,2.0
1999-12-29,45.88,46.75,44.06,44.69,31.6386343863,2056900.0,0.0,1.0
1999-12-30,45.25,46.13,43.88,44.31,31.3696104197,2092900.0,0.0,1.0
1999-12-31,44.88,46.25,44.13,45.47,32.1908414756,1876700.0,0.0,1.0
2000-01-03,47.94,48.13,46.25,46.75,33.0970274683,7698700.0,0.0,1.0
2000-01-04,45.56,48.5,45.38,45.69,32.3465921931,7399600.0,0.0,1.0
2000-01-05,45.0,45.44,42.0,44.75,31.6811118547,6607300.0,0.0,1.0
2000-01-06,43.88,44.0,40.5,40.81,28.891758095900002,8556600.0,0.0,1.0
2000-01-07,40.94,45.44,40.75,45.44,32.1696027414,10617800.0,0.0,1.0
2000-01-10,47.19,49.13,46.0,47.75,33.8049852751,7491800.0,0.0,1.0
2000-01-11,47.88,48.0,42.75,43.94,31.107666031199997,5816400.0,0.0,1.0
2000-01-12,44.13,45.69,42.06,43.94,31.107666031199997,5797100.0,0.0,1.0
2000-01-13,44.86,45.88,44.0,45.25,32.0350907581,4712100.0,0.0,1.0
2000-01-14,47.06,49.0,47.0,48.19,34.116486710100006,9562000.0,0.0,1.0
2000-01-18,48.75,50.0,47.5,48.5,34.3359536302,7998500.0,0.0,1.0
2000-01-19,47.0,48.0,44.94,45.81,32.4315471299,8774800.0,0.0,1.0
2000-01-20,47.31,48.0,45.69,46.88,33.1890619832,7347300.0,0.0,1.0
2000-01-21,47.75,47.81,47.0,47.44,33.585518355,6005500.0,0.0,1.0
2000-01-24,47.94,48.5,44.25,44.5,31.504122403,6624800.0,0.0,1.0
2000-01-25,45.25,46.63,43.31,46.5,32.920038016599996,5160300.0,0.0,1.0
2000-01-26,46.94,47.06,43.56,43.75,30.9731540479,4204200.0,0.0,1.0
2000-01-27,44.0,44.5,41.63,43.75,30.9731540479,6997800.0,0.0,1.0
2000-01-28,43.63,45.25,42.56,43.19,30.5766976761,5973100.0,0.0,1.0
2000-01-31,43.06,45.81,42.06,45.75,32.3890696615,5542300.0,0.0,1.0
2000-02-01,45.88,48.0,44.0,47.94,33.9394972584,7631700.0,0.0,1.0
2000-02-02,48.19,51.44,48.0,50.75,35.9288586956,11365600.0,0.0,1.0
2000-02-03,51.88,57.88,51.88,57.25,40.5305844398,13538700.0,0.0,1.0
2000-02-04,56.56,59.38,56.25,58.06,41.1040302633,7889600.0,0.0,1.0
2000-02-07,58.5,60.0,58.5,60.0,42.477468408600004,4867600.0,0.0,1.0
2000-02-08,60.94,61.56,57.44,59.69,42.258001488400005,4968800.0,0.0,1.0
2000-02-09,59.56,59.56,57.31,57.81,40.9270408116,5546900.0,0.0,1.0
2000-02-10,57.94,59.38,57.25,58.69,41.5500436816,3553700.0,0.0,1.0
2000-02-11,58.75,58.88,56.63,56.94,40.3111175197,4897400.0,0.0,1.0
2000-02-14,56.88,62.0,56.69,61.94,43.8509065538,6033700.0,0.0,1.0
2000-02-15,61.25,63.81,57.94,61.88,43.8084290854,5961700.0,0.0,1.0
2000-02-16,63.06,67.75,61.81,65.25,46.1942468943,5181600.0,0.0,1.0
2000-02-17,66.63,69.5,64.63,69.06,48.8915661382,4523200.0,0.0,1.0
2000-02-18,68.56,70.06,66.0,66.19,46.8597272327,6288400.0,0.0,1.0
2000-02-22,65.63,68.06,64.19,67.25,47.6101625079,5432600.0,0.0,1.0
2000-02-23,67.75,69.0,67.38,68.0,48.141130863,5458100.0,0.0,1.0
2000-02-24,69.0,72.38,68.19,72.13,51.0649966051,5404900.0,0.0,1.0
2000-02-25,72.81,74.38,67.88,69.19,48.983600653100005,4654800.0,0.0,1.0
2000-02-28,68.63,72.13,64.38,70.25,49.7340359283,4509800.0,0.0,1.0
2000-02-29,76.0,81.06,74.56,79.75,56.459635093,7445400.0,0.0,1.0
2000-03-01,84.0,84.5,74.5,74.69,52.87736859060001,9949200.0,0.0,1.0
2000-03-02,82.75,83.88,75.5,76.94,54.4702736559,8379700.0,0.0,1.0
2000-03-03,81.75,85.0,80.0,83.13,58.8525324801,4172900.0,0.0,1.0
2000-03-06,83.44,85.69,80.5,80.88,57.259627414700006,3505500.0,0.0,1.0
2000-03-07,83.38,84.25,79.0,82.0,58.0525401584,3850100.0,0.0,1.0
2000-03-08,83.0,83.06,75.13,81.81,57.918028175100005,4891000.0,0.0,1.0
2000-03-09,80.69,82.75,77.25,82.69,58.541031045100006,3585100.0,0.0,1.0
2000-03-10,81.56,85.88,81.44,83.31,58.9799648853,4729800.0,0.0,1.0
2000-03-13,79.3,81.38,78.0,79.13,56.020701252799995,4561300.0,0.0,1.0
2000-03-14,80.88,81.75,71.25,71.33,50.4986303597,7018000.0,0.0,1.0
2000-03-15,72.5,74.81,65.56,69.19,48.983600653100005,8510600.0,0.0,1.0
2000-03-16,72.5,76.0,65.13,72.31,51.1924290104,11099100.0,0.0,1.0
2000-03-17,71.5,75.56,71.5,75.5,53.4508144141,5943200.0,0.0,1.0
2000-03-20,78.69,80.06,73.0,73.38,51.9499438637,6858600.0,0.0,1.0
2000-03-21,74.5,77.31,71.5,77.0,54.5127511243,5772100.0,0.0,1.0
2000-03-22,78.25,82.72,76.63,82.63,58.498553576599996,5509100.0,0.0,1.0
2000-03-23,81.69,85.0,79.0,84.38,59.737479738599994,3944600.0,0.0,1.0
2000-03-24,83.75,86.56,80.31,82.62,58.4914739986,4638900.0,0.0,1.0
2000-03-27,83.19,88.44,83.19,86.81,61.4578172091,4884100.0,0.0,1.0
2000-03-28,88.0,88.0,83.13,84.88,60.091458642,4020000.0,0.0,1.0
2000-03-29,84.75,86.25,77.88,80.44,56.9481259797,6335100.0,0.0,1.0
2000-03-30,77.25,81.5,74.13,76.88,54.4277961875,5546300.0,0.0,1.0
