Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,28.13,28.69,27.25,27.5,51.4248174509,5129900.0,0.0,1.0
1999-11-02,27.0,27.44,26.13,26.38,49.3304248856,5466200.0,0.0,1.0
1999-11-03,27.0,27.0,25.38,26.44,49.442624487299994,6003700.0,0.0,1.0
1999-11-04,27.13,27.13,26.31,26.75,50.0223224295,4257800.0,0.0,1.0
1999-11-05,26.56,27.0,25.63,25.88,48.3954282047,4211800.0,0.0,1.0
1999-11-08,26.06,26.44,25.56,25.69,48.0401294659,3492100.0,0.0,1.0
1999-11-09,25.88,26.13,25.5,25.5,47.6848307272,3747400.0,0.0,1.0
1999-11-10,25.5,26.13,25.38,25.75,48.1523290677,5591300.0,0.0,1.0
1999-11-11,25.56,25.94,24.94,25.25,47.2173323867,4485000.0,0.0,1.0
1999-11-12,25.75,25.75,24.81,24.81,46.3945353075,4291400.0,0.0,1.0
1999-11-15,25.75,25.88,24.94,25.56,47.7970303289,4357700.0,0.0,1.0
1999-11-16,25.88,25.94,25.13,25.75,48.1523290677,4074000.0,0.0,1.0
1999-11-17,25.56,25.69,24.81,24.88,46.525434842799996,7417600.0,0.0,1.0
1999-11-18,25.5,28.0,25.25,27.75,51.8923157914,18161600.0,0.0,1.0
1999-11-19,28.38,30.5,27.88,28.69,53.650109551499995,20011800.0,0.0,1.0
1999-11-22,30.0,30.0,28.38,29.05,54.3233071618,7653000.0,0.0,1.0
1999-11-23,29.0,29.0,28.13,28.19,52.7151128706,5507400.0,0.0,1.0
1999-11-24,28.13,28.75,27.69,28.19,52.7151128706,4550800.0,0.0,1.0
1999-11-26,28.31,28.75,28.0,28.19,52.7151128706,2428600.0,0.0,1.0
1999-11-29,28.0,28.38,27.38,27.5,51.4248174509,5119200.0,0.0,1.0
1999-11-30,27.25,27.38,26.5,27.38,51.2004182475,6336800.0,0.0,1.0
1999-12-01,26.63,26.94,26.25,26.5,49.928822761400006,4193300.0,0.2,1.0
1999-12-02,26.75,26.94,26.25,26.25,49.4577961316,4662000.0,0.0,1.0
1999-12-03,26.88,27.0,25.69,25.94,48.873723110600004,5824500.0,0.0,1.0
1999-12-06,25.94,26.88,25.69,26.06,49.0998158929,6185400.0,0.0,1.0
1999-12-07,26.19,26.25,25.31,25.5,48.0447162421,5948500.0,0.0,1.0
1999-12-08,26.0,26.0,24.13,24.44,46.0475633317,11124800.0,0.0,1.0
1999-12-09,24.88,24.88,23.31,23.44,44.1634568124,12578600.0,0.0,1.0
1999-12-10,23.5,25.19,19.0,20.0,37.682130386,9604500.0,0.0,1.0
1999-12-13,20.5,22.44,20.25,21.48,40.470608034499996,42845800.0,0.0,1.0
1999-12-14,21.31,23.75,21.25,23.06,43.447496335,18502700.0,0.0,1.0
1999-12-15,22.5,23.13,21.81,22.13,41.6952772721,12059300.0,0.0,1.0
1999-12-16,22.63,22.75,21.56,21.75,40.9793167947,9206600.0,0.0,1.0
1999-12-17,20.75,20.75,20.75,20.75,39.0952102754,10881500.0,0.0,1.0
1999-12-20,21.38,21.5,20.69,21.11,39.773488622399995,6905400.0,0.0,1.0
1999-12-21,20.81,21.19,20.63,20.88,39.340144123,8683900.0,0.0,1.0
1999-12-22,21.06,21.75,21.0,21.69,40.8662704036,7333500.0,0.0,1.0
1999-12-23,22.0,22.75,21.13,21.88,41.2242506423,8003900.0,0.0,1.0
1999-12-27,22.25,22.38,21.88,22.19,41.8083236632,7402100.0,0.0,1.0
1999-12-28,22.06,22.38,21.75,22.25,41.9213700544,6245400.0,0.0,1.0
