Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2011-10-13,23.5,24.27,23.0,24.25,21.2702612035,396800.0,0.0,1.0
2011-10-14,24.36,25.49,24.36,25.35,22.2350977941,402600.0,0.0,1.0
2011-10-17,25.5,25.8,25.16,25.16,22.0684442012,583400.0,0.0,1.0
2011-10-18,25.06,25.36,24.9,25.24,22.138614135100003,423500.0,0.0,1.0
2011-10-19,25.25,25.35,24.75,24.75,21.708823290100003,722200.0,0.0,1.0
2011-10-20,24.8,25.03,24.33,24.75,21.708823290100003,549700.0,0.0,1.0
2011-10-21,25.0,25.75,24.95,25.54,22.4017513871,1764500.0,0.0,1.0
2011-10-24,25.5,25.85,25.5,25.77,22.6034899469,371300.0,0.0,1.0
2011-10-25,25.88,26.08,25.0,25.75,22.5859474635,546800.0,0.0,1.0
2011-10-26,26.09,26.09,24.86,25.02,21.945646816900002,657300.0,0.0,1.0
2011-10-27,25.25,25.95,25.25,25.62,22.4719213209,405400.0,0.0,1.0
2011-10-28,25.5,25.82,25.25,25.82,22.6473461556,584700.0,0.0,1.0
2011-10-31,26.25,26.74,25.25,26.74,23.454300395100002,15106000.0,0.0,1.0
2011-11-01,25.6,28.28,25.15,27.31,23.954261173899997,6095200.0,0.0,1.0
2011-11-02,27.4,27.4,25.79,26.62,23.349045494299997,2476700.0,0.0,1.0
2011-11-03,26.94,27.07,26.38,26.39,23.1473069344,1615000.0,0.0,1.0
2011-11-04,26.17,26.59,24.88,25.19,22.0947579264,1923300.0,0.0,1.0
2011-11-07,24.91,25.48,24.37,24.6,21.5772546641,2703500.0,0.0,1.0
2011-11-08,25.1,25.345,24.76,24.94,21.8754768831,2024100.0,0.0,1.0
2011-11-09,24.35,25.0,23.84,23.89,20.9544965011,1570900.0,0.0,1.0
2011-11-10,24.48,24.71,23.52,23.65,20.7439866995,1166000.0,0.0,1.0
2011-11-11,23.88,24.09,23.63,23.79,20.866784083699997,1266200.0,0.0,1.0
