Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-11-01,59.0,59.5,58.75,59.06,42.3166642763,617400.0,0.0,1.0
1999-11-02,59.0,61.19,59.0,60.81,43.5705444403,830500.0,0.0,1.0
1999-11-03,60.75,61.75,60.06,60.06,43.0331672271,778600.0,0.0,1.0
1999-11-04,60.25,62.13,60.13,60.63,43.4415739091,578500.0,0.0,1.0
1999-11-05,61.13,62.56,61.13,62.19,44.5593185124,461700.0,0.0,1.0
1999-11-08,61.75,63.0,61.75,62.94,45.096695725500005,273700.0,0.0,1.0
1999-11-09,62.81,63.0,61.69,62.0,44.4231829518,544900.0,0.0,1.0
1999-11-10,61.88,62.13,61.5,62.0,44.4231829518,397800.0,0.0,1.0
1999-11-11,61.94,62.06,60.94,61.88,44.337202597700006,171600.0,0.0,1.0
1999-11-12,62.0,63.13,61.81,62.94,45.096695725500005,719800.0,0.0,1.0
1999-11-15,62.63,63.0,62.25,62.94,45.096695725500005,339000.0,0.0,1.0
1999-11-16,63.0,63.31,62.63,63.13,45.232831286199996,199500.0,0.0,1.0
1999-11-17,63.06,63.69,62.94,63.63,45.5910827616,966700.0,0.0,1.0
1999-11-18,63.31,65.19,63.31,64.5,46.214440328900004,620600.0,0.0,1.0
1999-11-19,64.5,64.75,64.0,64.63,46.3075857125,459600.0,0.0,1.0
1999-11-22,64.63,64.75,63.69,63.81,45.720053292799996,405300.0,0.0,1.0
1999-11-23,63.63,63.75,62.0,62.5,44.781434427200004,562600.0,0.0,1.0
1999-11-24,62.44,62.94,62.13,62.88,45.053705548500005,713800.0,0.0,1.0
1999-11-26,62.75,63.06,62.75,62.94,45.096695725500005,106100.0,0.0,1.0
1999-11-29,62.78,62.78,61.63,61.75,44.244057214099996,274200.0,0.0,1.0
1999-11-30,61.75,65.0,61.75,64.56,46.257430505900004,672200.0,0.0,1.0
1999-12-01,64.5,65.56,64.5,65.31,46.794807719,559800.0,0.0,1.0
1999-12-02,65.0,66.13,65.0,65.88,47.203214401000004,249300.0,0.0,1.0
1999-12-03,65.94,68.06,65.75,67.56,48.4069393584,584200.0,0.0,1.0
1999-12-06,67.19,67.38,65.38,65.88,47.203214401000004,808500.0,0.0,1.0
1999-12-07,65.97,65.97,63.56,63.63,45.5910827616,821700.0,0.0,1.0
1999-12-08,63.94,63.94,61.75,61.88,44.337202597700006,568900.0,0.0,1.0
1999-12-09,62.25,63.56,62.19,63.31,45.3618018174,513100.0,0.0,1.0
1999-12-10,63.44,64.69,63.44,63.94,45.813198676400006,641400.0,0.0,1.0
1999-12-13,63.77,64.13,63.63,63.69,45.6340729387,490700.0,0.0,1.0
1999-12-14,63.38,63.44,62.69,62.94,45.096695725500005,518700.0,0.0,1.0
1999-12-15,62.88,62.88,61.38,62.38,44.6954540731,609700.0,0.0,1.0
1999-12-16,62.31,62.75,61.5,61.88,44.337202597700006,533700.0,0.0,1.0
1999-12-17,62.38,62.38,61.44,61.44,44.0219412993,663300.0,0.0,1.0
